nhóm nhiễu,split,dòng trong file,ví dụ
chỉ emoji / dấu câu,train,239,👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌
có ký tự lặp,train,475,"Săn sale nên giá khá ổn nhưng bôi hơi bị khô môi, k đc mịn lắm mnnnnnnnnnmnnnnnnnnnnnnnnnmnnmnmmmmmmmmmmmmkmmmmmmmm"
có ký tự lặp,train,4176,Không giống màu trên hình lắm kkk ........................
có ký tự lặp,train,4340,"sp khá ổn
thời gian giao hàng nhanh
đóng gói sp tốt chắc chắn......"
có ký tự lặp,val,416,Màu son bôi cũng được có makeup thì đẹp lém ................
có ký tự lặp,val,575,"Hình ảnh chỉ mang tính chất nhận xu , nhưng mà son đẹp nha các bác ui , cơ mà giao hàng hơi lâu tí :)))"
có ký tự lặp,val,1251,"Son đẹp, chất lượng nên mua để cảm nhận, thêm vào bộ sưu tập son :))))))"
có ký tự lặp,test,760,"Công dụng: dùng trang điểm khi ra ngoài , đi chơi...
Kết cấu: thiết kế vỏ hộp , hộp son , mịn
Độ bền màu: màu tươi đẹp ,"
có ký tự lặp,test,963,"Giao hàng đầy đủ, giá cả phải chăng, chất lượng sản phẩm tuyệt vời. Nên mua nha mọi ngườiiii"
có ký tự lặp,test,1108,"Sao tui thấy màu lên không giống lắm vậy :(((
Hơi pùn 1 xí đó nha"
