review,aspect,gold,pred
50,stayingpower,negative,positive
59,stayingpower,negative,positive
64,stayingpower,negative,positive
77,stayingpower,negative,positive
85,stayingpower,negative,positive
126,stayingpower,negative,positive
151,stayingpower,negative,positive
169,stayingpower,negative,
205,stayingpower,negative,
285,stayingpower,negative,positive
286,stayingpower,negative,positive
292,stayingpower,negative,positive
309,stayingpower,negative,positive
347,stayingpower,negative,
355,stayingpower,negative,
364,stayingpower,negative,positive
383,stayingpower,negative,positive
417,stayingpower,negative,positive
421,stayingpower,negative,positive
426,stayingpower,negative,positive
432,stayingpower,negative,positive
455,stayingpower,negative,positive
468,stayingpower,negative,positive
472,stayingpower,negative,positive
481,stayingpower,negative,positive
483,stayingpower,negative,positive
494,stayingpower,,positive
508,stayingpower,negative,positive
526,stayingpower,negative,positive
577,stayingpower,negative,positive
580,stayingpower,negative,positive
593,stayingpower,negative,positive
598,stayingpower,positive,
620,stayingpower,negative,positive
648,stayingpower,negative,positive
650,stayingpower,,positive
661,stayingpower,negative,positive
687,stayingpower,negative,positive
760,stayingpower,negative,positive
763,stayingpower,negative,positive
780,stayingpower,negative,positive
784,stayingpower,negative,
788,stayingpower,negative,positive
811,stayingpower,negative,
816,stayingpower,negative,positive
837,stayingpower,negative,
845,stayingpower,negative,
853,stayingpower,negative,positive
859,stayingpower,negative,positive
864,stayingpower,,positive
885,stayingpower,negative,positive
905,stayingpower,negative,positive
922,stayingpower,,positive
931,stayingpower,negative,positive
933,stayingpower,,positive
938,stayingpower,negative,positive
940,stayingpower,negative,positive
965,stayingpower,negative,positive
1039,stayingpower,negative,positive
1040,stayingpower,negative,positive
1042,stayingpower,,positive
1081,stayingpower,negative,positive
1104,stayingpower,negative,positive
1112,stayingpower,negative,positive
1114,stayingpower,negative,positive
1116,stayingpower,negative,
1148,stayingpower,negative,positive
1155,stayingpower,,positive
1165,stayingpower,negative,
1170,stayingpower,negative,positive
1172,stayingpower,negative,positive
1179,stayingpower,negative,positive
1181,stayingpower,negative,positive
1201,stayingpower,negative,positive
1208,stayingpower,negative,positive
1234,stayingpower,negative,positive
1243,stayingpower,negative,positive
1250,stayingpower,negative,
1271,stayingpower,negative,positive
1274,stayingpower,positive,
1287,stayingpower,negative,positive
1288,stayingpower,,positive
1307,stayingpower,negative,positive
1309,stayingpower,negative,positive
1335,stayingpower,negative,positive
1358,stayingpower,negative,positive
