split,dòng gốc,lý do loại,văn bản (rút gọn)
train,5,chuỗi ký tự vô nghĩa (gibberish),Obdhsjdbdhdjdjdjsgs dnkssushgdcsgsgshjsjsvevssnskjshsvshsjsj
train,13,quảng cáo / tin nhắn nhà mạng,https://vt.tiktok.com/ZSeSx64UP/WHUXE57https://vt.tiktok.com/ZSeSx64UP/https://www.facebook.com/lan.emm.2k2https://vt.tiktok.com/ZSeSx64UP/https://www.facebook.com/lan.emm.2k2https://vt.tiktok.com/ZSe
train,30,chuỗi ký tự vô nghĩa (gibberish),únnsnxnhywbbhsnnznnznznxjxjxkxnjxjxjjxxjxjjjjxjxjjxjxjxnznnznznznnznznnnznzhsuskkcnncbx
train,88,chuỗi ký tự vô nghĩa (gibberish),Hsjasijsbsbsbsbsbsbbsnananananansnzznnanansnsnsnsnanan
train,117,quảng cáo / tin nhắn nhà mạng,"(TB) De duoc huong dan chia se Tai Khoan Chinh giua cac thue bao VinaPhone tra truoc qua dich vu 2Friends, soan ngay DK gui 999 (mien phi). Chi tiet LH 18001091 (0d). Tran trong cam on"
train,121,chuỗi ký tự vô nghĩa (gibberish),Rghsdi2nnisnnmkmmmkm kkemsmms jjjsnnssmnsnsnsjjsajnana
train,147,chuỗi ký tự vô nghĩa (gibberish),Rẻ đẹppppppPpppppppppppppppppppppppppppppppppppppppp
train,162,chuỗi ký tự vô nghĩa (gibberish),Đẹppppppppppppppppppppppp xuấtttttttttttt sắcccccccc
train,185,chuỗi ký tự vô nghĩa (gibberish),Tuỵt vờiiiiiiiiiiiiii sjsjshsbsishwwhdhhdbdkwowhweuwjedn đkdijeendjudbeeidudhheeuwiwod fmdkjdvsiwyowgeu2icsiuw e jsisveoeywobslx  djshsnsbsibewnshiehwishod dbdishwnsbidbsbshshsiwhiwuwuuwoqmdbhyx
train,210,chuỗi ký tự vô nghĩa (gibberish),Hyycgguuuhhgghhjuiuuuuuuhhgghgghhhhhhhhhhhhhhhhhhhhjjjjjjjjjjjjjjjjjjjj
train,249,chuỗi ký tự vô nghĩa (gibberish),xgkgxygoxigxgdskuraursurazcbvlcyoxdixitxtxktxtxixtxt kt
train,260,chuỗi ký tự vô nghĩa (gibberish),Sgbthygbghfetujbgfdgghhhhgftygjjjhgfdhjjyffeffgggee
train,284,chuỗi ký tự vô nghĩa (gibberish),Nsnxhsnjsjsksbzjxbhhshsbsbxhhshshbsbsnsnsnksndndjdn
train,285,chuỗi ký tự vô nghĩa (gibberish),Ozdyoxhdpfxufupxfxupfupxufyfoyofyozyfzozroyzyofoyzfyfoz
train,308,chuỗi ký tự vô nghĩa (gibberish),Hdjsjshjsjshshsbshshbsbwhsbshdbdhsjsbsbhshshsbsbshhs
train,417,chuỗi ký tự vô nghĩa (gibberish),dajn. kknncxdchjjjvaabnkjbvfvnnnnn nnbbdahnnvdgjjjbbghjknncdvjjbnbgfdchhbhgcgghjjhhgggffhhyrdhijnn
train,486,chuỗi ký tự vô nghĩa (gibberish),Tgghhgcfcyjfykrjgdgjjfdutdtusutstustustustusttjgst
train,504,chuỗi ký tự vô nghĩa (gibberish),Jsjsjjsksksksjdjrjjr djosoqjrbrheoowldofp3ppwpdk ffowowo j3iducyjsjsf d lwpakdjh3vtvfjspapjs jdoaoqmbdbdbdneksofuiwowkskdnjrkalkcjc 
train,553,chuỗi ký tự vô nghĩa (gibberish),hhshshsbdbdbdhjdjdjdndndndndndndbdbdbdbdbdbdbdbdbdbdbd
train,592,chuỗi ký tự vô nghĩa (gibberish),Ugf5sbbobdey8u9 hx4wfibi
train,607,chuỗi ký tự vô nghĩa (gibberish),Sbsbbdbdbdbd d dbdbdbensnensnnensjejejejejejejejejeiueueuejehe
train,620,quảng cáo / tin nhắn nhà mạng,"Viettel TB: Goi ST15K gia han khong thanh cong. Quy khach tiep tuc truy cap theo goi Mobile Internet dang su dung (neu co). De biet them thong tin ve cac goi Mobile Internet khac, vui long bam goi *09"
train,669,chuỗi ký tự vô nghĩa (gibberish),vhhhbvvvvvvvvvvvvvvvvvvvvvv         vhhgfddzzxfhb drthfdetvcdf
train,674,quảng cáo / tin nhắn nhà mạng,"Like 2 bài viết mỗi ngày là có tiền chỉ cần truy cập link: https://www.utblike.com/Home/Public/reg/type/1/smid/1466562/code/7dcclfan5nr0
NHÓM : https://t.me/joinchat/mCHrr0tKpkI2ZDVl
ZALO : https://"
train,698,chuỗi ký tự vô nghĩa (gibberish),Fsbhshdhdhshhs hdudufhfhfh hdhdhdhfjjdhsisifhbf hdhdudisifhufjs hfhdjsjdjfdjjdhe đhhhfhdhdhdhfjsis hdhdjdjdjfnfbbfbdhd
train,707,chuỗi ký tự vô nghĩa (gibberish),🤦🤦🤦🤦🤦🤦🤦🤦🤦🤦gchvvkbvtrtzxxcuuvbjvkvkbkbkvkvjvjvjvivjvjv
train,716,chuỗi ký tự vô nghĩa (gibberish),Wqrydsijxtovdtjbvsojstbdyhceijvfijfrhjggy.........
train,720,chuỗi ký tự vô nghĩa (gibberish),Ndjdjdkekdjdkdkdkkđmdmêmldldcmmcmfmêjdkrrnjfkfkfrkdkfkfk
train,723,chuỗi ký tự vô nghĩa (gibberish),Sp okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,743,chuỗi ký tự vô nghĩa (gibberish),Ggfffffffyvhvyvtvtcrctvunjnhvtxszwzwzexrcvujimomhgv
train,751,chuỗi ký tự vô nghĩa (gibberish),Jtxkhcitxtljvkh ln kxiy jlxurautclhctxyockcljkjfjkhdkd
train,758,chuỗi ký tự vô nghĩa (gibberish),Vbjvchbbjjjn hnvghbhb. Hhbbbbbbb bbbbhbhbbbbbbhbnnnnbb
train,773,chuỗi ký tự vô nghĩa (gibberish),H h nvkd k djvdj dkvdkbdkbdbdkbdobdofbidbidbodbidhidgidhidgid
train,793,chuỗi ký tự vô nghĩa (gibberish),Fkfrruutj kgdjhrutfc  bìbfjgiwhhhhhh hhhhh hhhhhj ffffff cccccc nnnnnn vvvvvv gggvvv
train,827,chuỗi ký tự vô nghĩa (gibberish),Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
