file,model,split,tokenizer,segmenter,vocab,max_length,số review,token/review TB,p50,p95,p99,max,% review > max_length,% token <unk>,subword / từ,file,file.3,file.2,file.1,model_input
data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,phobert,train,PhobertTokenizer,vncorenlp,64000,256,12302,29.96,25,62,87,301,0.02,3.88,1.38,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,,
data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,phobert,val,PhobertTokenizer,vncorenlp,64000,256,1524,29.21,25,56,83,192,0.0,3.67,1.39,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,,
data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,phobert,test,PhobertTokenizer,vncorenlp,64000,256,1518,30.63,25,67,86,169,0.0,3.33,1.39,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,,
data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,visobert,train,XLMRobertaTokenizer,none,15002,256,12302,43.45,36,89,125,229,0.0,0.11,2.02,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,,
data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,visobert,val,XLMRobertaTokenizer,none,15002,256,1524,42.74,36,80,125,175,0.0,0.07,2.03,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,,
data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,visobert,test,XLMRobertaTokenizer,none,15002,256,1518,44.01,36,97,124,159,0.0,0.11,2.02,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,,
data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,qwen,train,Qwen2Tokenizer,none,151643,2304,12302,1864.5,1859,1903,1933,2109,0.0,-,86.73,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,,
data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,qwen,val,Qwen2Tokenizer,none,151643,2304,1524,1863.61,1859,1897,1931,2016,0.0,-,88.62,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,,
data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,qwen,test,Qwen2Tokenizer,none,151643,2304,1518,1865.17,1859,1908,1929,1959,0.0,-,85.47,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,,
data/reports/model_input/model_input.csv,phobert,train,PhobertTokenizer,vncorenlp,64000,256,12302,29.96,25,62,87,301,0.02,3.88,1.38,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,
data/reports/model_input/model_input.csv,phobert,val,PhobertTokenizer,vncorenlp,64000,256,1524,29.21,25,56,83,192,0.0,3.67,1.39,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,
data/reports/model_input/model_input.csv,phobert,test,PhobertTokenizer,vncorenlp,64000,256,1518,30.63,25,67,86,169,0.0,3.33,1.39,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,
data/reports/model_input/model_input.csv,visobert,train,XLMRobertaTokenizer,none,15002,256,12302,43.45,36,89,125,229,0.0,0.11,2.02,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,
data/reports/model_input/model_input.csv,visobert,val,XLMRobertaTokenizer,none,15002,256,1524,42.74,36,80,125,175,0.0,0.07,2.03,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,
data/reports/model_input/model_input.csv,visobert,test,XLMRobertaTokenizer,none,15002,256,1518,44.01,36,97,124,159,0.0,0.11,2.02,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,
data/reports/model_input/model_input.csv,qwen,train,Qwen2Tokenizer,none,151643,2304,12302,1864.5,1859,1903,1933,2109,0.0,-,86.73,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,
data/reports/model_input/model_input.csv,qwen,val,Qwen2Tokenizer,none,151643,2304,1524,1863.61,1859,1897,1931,2016,0.0,-,88.62,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,
data/reports/model_input/model_input.csv,qwen,test,Qwen2Tokenizer,none,151643,2304,1518,1865.17,1859,1908,1929,1959,0.0,-,85.47,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,,
data/reports/model_input/model_input.csv,phobert,train,PhobertTokenizer,vncorenlp,64000,256,12302,29.96,25,62,87,301,0.02,3.88,1.38,data/reports/model_input/model_input.csv,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,
data/reports/model_input/model_input.csv,phobert,val,PhobertTokenizer,vncorenlp,64000,256,1524,29.21,25,56,83,192,0.0,3.67,1.39,data/reports/model_input/model_input.csv,data/reports/model_input/model_input.csv,data/reports/model_input/cosmetics-ds0.1.0-pl0.1.0-srccosmetics@0.1.0-e0ccc484/token_stats__prompt-absa_cot_5shot_v1__ex-2799b4c8.csv,,
